"ANOOBITO","Total_Casos","Total_NA","Porcentagem_NA","Variavel_CID","Var_Sociodemo"
2021,8054,0,0,"linhac","SEXO"
2022,8700,1,0.0114942528735632,"linhac","SEXO"
2013,7824,431,5.50869120654397,"linhac","RACACOR"
2014,7599,385,5.0664561126464,"linhac","RACACOR"
2015,7738,365,4.71698113207547,"linhac","RACACOR"
2016,7908,279,3.52807283763278,"linhac","RACACOR"
2017,7979,186,2.33111918786815,"linhac","RACACOR"
2018,8111,203,2.50277401060288,"linhac","RACACOR"
2019,8299,208,2.50632606338113,"linhac","RACACOR"
2020,8255,198,2.39854633555421,"linhac","RACACOR"
2021,8054,180,2.23491432828408,"linhac","RACACOR"
2022,8700,153,1.75862068965517,"linhac","RACACOR"
2013,7824,1664,21.2678936605317,"linhac","ESC"
2014,7599,1509,19.8578760363206,"linhac","ESC"
2015,7738,1425,18.4156112690618,"linhac","ESC"
2016,7908,1370,17.3242286292362,"linhac","ESC"
2017,7979,1288,16.142373731044,"linhac","ESC"
2018,8111,1286,15.8550117124892,"linhac","ESC"
2019,8299,1239,14.9295095794674,"linhac","ESC"
2020,8255,1303,15.7843731072078,"linhac","ESC"
2021,8054,1316,16.3397069778992,"linhac","ESC"
2022,8700,1335,15.3448275862069,"linhac","ESC"
2013,7824,784,10.0204498977505,"linhac","ESTCIV"
2014,7599,763,10.0407948414265,"linhac","ESTCIV"
2015,7738,703,9.08503489273714,"linhac","ESTCIV"
2016,7908,619,7.82751643904906,"linhac","ESTCIV"
2017,7979,571,7.15628524877804,"linhac","ESTCIV"
2018,8111,628,7.74257181605228,"linhac","ESTCIV"
2019,8299,645,7.7720207253886,"linhac","ESTCIV"
2020,8255,650,7.8740157480315,"linhac","ESTCIV"
2021,8054,683,8.48025825676682,"linhac","ESTCIV"
2022,8700,699,8.03448275862069,"linhac","ESTCIV"
2013,7120,2,0.0280898876404494,"linhad","SEXO"
2014,7208,3,0.0416204217536071,"linhad","SEXO"
2015,7490,2,0.0267022696929239,"linhad","SEXO"
2016,7518,1,0.0133014099494546,"linhad","SEXO"
2017,7811,1,0.0128024580719498,"linhad","SEXO"
2018,7729,1,0.0129382843834907,"linhad","SEXO"
2019,7753,0,0,"linhad","SEXO"
2020,7196,2,0.0277932184546971,"linhad","SEXO"
2021,7367,2,0.0271480928464775,"linhad","SEXO"
2022,8415,0,0,"linhad","SEXO"
2013,7120,363,5.09831460674157,"linhad","RACACOR"
2014,7208,344,4.77247502774695,"linhad","RACACOR"
2015,7490,282,3.76502002670227,"linhad","RACACOR"
2016,7518,271,3.60468209630221,"linhad","RACACOR"
2017,7811,239,3.05978747919601,"linhad","RACACOR"
2018,7729,222,2.87229913313495,"linhad","RACACOR"
2019,7753,197,2.54095188959113,"linhad","RACACOR"
2020,7196,195,2.70983879933296,"linhad","RACACOR"
2021,7367,174,2.36188407764355,"linhad","RACACOR"
2022,8415,169,2.00831847890671,"linhad","RACACOR"
2013,7120,1482,20.814606741573,"linhad","ESC"
2014,7208,1389,19.2702552719201,"linhad","ESC"
2015,7490,1361,18.1708945260347,"linhad","ESC"
2016,7518,1374,18.2761372705507,"linhad","ESC"
2017,7811,1317,16.8608372807579,"linhad","ESC"
2018,7729,1251,16.1857937637469,"linhad","ESC"
2019,7753,1238,15.9680123823036,"linhad","ESC"
2020,7196,1229,17.0789327404113,"linhad","ESC"
2021,7367,1122,15.2300800868739,"linhad","ESC"
2022,8415,1236,14.6880570409982,"linhad","ESC"
2013,7120,630,8.84831460674157,"linhad","ESTCIV"
2014,7208,652,9.04550499445061,"linhad","ESTCIV"
2015,7490,598,7.98397863818425,"linhad","ESTCIV"
2016,7518,623,8.28677839851024,"linhad","ESTCIV"
2017,7811,615,7.87351171424914,"linhad","ESTCIV"
2018,7729,597,7.72415577694398,"linhad","ESTCIV"
2019,7753,604,7.79053269702051,"linhad","ESTCIV"
2020,7196,615,8.54641467481934,"linhad","ESTCIV"
2021,7367,592,8.03583548255735,"linhad","ESTCIV"
2022,8415,631,7.49851455733809,"linhad","ESTCIV"
2013,28946,2,0.00690941753610171,"linhaii","SEXO"
2014,29893,6,0.0200715886662429,"linhaii","SEXO"
2015,31396,7,0.0222958338641865,"linhaii","SEXO"
2016,33494,7,0.0208992655400967,"linhaii","SEXO"
2017,35895,3,0.00835770998746344,"linhaii","SEXO"
2018,37336,7,0.0187486608099421,"linhaii","SEXO"
2019,39107,1,0.00255708696652773,"linhaii","SEXO"
2020,49099,1,0.00203670135847981,"linhaii","SEXO"
2021,53011,5,0.00943200467827432,"linhaii","SEXO"
2022,55262,5,0.00904780862075205,"linhaii","SEXO"
2013,28946,1273,4.39784426172874,"linhaii","RACACOR"
2014,29893,1095,3.66306493158934,"linhaii","RACACOR"
2015,31396,1129,3.59599949038094,"linhaii","RACACOR"
2016,33494,997,2.97665253478235,"linhaii","RACACOR"
2017,35895,882,2.45716673631425,"linhaii","RACACOR"
2018,37336,904,2.42125562459824,"linhaii","RACACOR"
2019,39107,887,2.2681361393101,"linhaii","RACACOR"
2020,49099,1099,2.23833479296931,"linhaii","RACACOR"
2021,53011,1080,2.03731301050725,"linhaii","RACACOR"
2022,55262,989,1.78965654518476,"linhaii","RACACOR"
2013,28946,5905,20.4000552753403,"linhaii","ESC"
2014,29893,5706,19.088080821597,"linhaii","ESC"
2015,31396,5763,18.3558415084724,"linhaii","ESC"
2016,33494,5837,17.4270018510778,"linhaii","ESC"
2017,35895,5865,16.339323025491,"linhaii","ESC"
2018,37336,6224,16.6702378401543,"linhaii","ESC"
2019,39107,6089,15.5701025391874,"linhaii","ESC"
2020,49099,8137,16.5726389539502,"linhaii","ESC"
2021,53011,7897,14.8969081888665,"linhaii","ESC"
2022,55262,8011,14.4963989721689,"linhaii","ESC"
2013,28946,2357,8.14274856629586,"linhaii","ESTCIV"
2014,29893,2203,7.36961830528886,"linhaii","ESTCIV"
2015,31396,2272,7.23659064849025,"linhaii","ESTCIV"
2016,33494,2335,6.9713978623037,"linhaii","ESTCIV"
2017,35895,2414,6.72517063657891,"linhaii","ESTCIV"
2018,37336,2552,6.83522605528177,"linhaii","ESTCIV"
2019,39107,2596,6.63819776510599,"linhaii","ESTCIV"
2020,49099,3899,7.94109859671276,"linhaii","ESTCIV"
2021,53011,4064,7.66633340250137,"linhaii","ESTCIV"
2022,55262,3900,7.0572907241866,"linhaii","ESTCIV"
