"ANOOBITO","Total_Casos","Total_NA","Porcentagem_NA","Variavel_CID","Var_Sociodemo"
2017,910,298,32.7472527472527,"linhaii","ESC"
2018,963,307,31.8795430944964,"linhaii","ESC"
2019,1175,392,33.3617021276596,"linhaii","ESC"
2020,1447,499,34.4851416724257,"linhaii","ESC"
2021,1344,414,30.8035714285714,"linhaii","ESC"
2022,1248,376,30.1282051282051,"linhaii","ESC"
2013,763,77,10.0917431192661,"linhaii","ESTCIV"
2014,842,105,12.4703087885986,"linhaii","ESTCIV"
2015,809,124,15.327564894932,"linhaii","ESTCIV"
2016,868,113,13.0184331797235,"linhaii","ESTCIV"
2017,910,136,14.9450549450549,"linhaii","ESTCIV"
2018,963,176,18.276220145379,"linhaii","ESTCIV"
2019,1175,231,19.6595744680851,"linhaii","ESTCIV"
2020,1447,319,22.0456116102281,"linhaii","ESTCIV"
2021,1344,279,20.7589285714286,"linhaii","ESTCIV"
2022,1248,260,20.8333333333333,"linhaii","ESTCIV"
